customer_id,age_cat,freq_cat
1,age20~34,freq2
2,age35~49,freq0
3,age35~49,freq0
4,age~19,freq0
5,age35~49,freq0
6,age20~34,freq1
7,age~19,freq1
8,age~19,freq0
9,age35~49,freq0
10,age20~34,freq1
11,age35~49,freq1
12,age35~49,freq1
13,age35~49,freq1
14,age35~49,freq2
15,age35~49,freq0
16,age20~34,freq1
17,age35~49,freq0
18,age50~,freq0
19,age20~34,freq1
20,age~19,freq1
21,age35~49,freq1
22,age20~34,freq1
23,age35~49,freq1
24,age35~49,freq1
25,age~19,freq1
26,age35~49,freq0
27,age20~34,freq3~
28,age~19,freq3~
29,age50~,freq0
30,age20~34,freq0
31,age35~49,freq0
32,age~19,freq0
33,age20~34,freq0
34,age~19,freq0
35,age35~49,freq0
36,age20~34,freq3~
37,age35~49,freq0
38,age20~34,freq3~
39,age20~34,freq1
40,age20~34,freq0
41,age50~,freq0
42,age35~49,freq0
43,age35~49,freq1
44,age20~34,freq1
45,age50~,freq0
46,age20~34,freq3~
47,age20~34,freq0
48,age~19,freq1
49,age50~,freq0
50,age50~,freq1
51,age35~49,freq1
52,age35~49,freq1
53,age35~49,freq0
54,age35~49,freq1
55,age35~49,freq1
56,age35~49,freq0
57,age35~49,freq1
58,age35~49,freq0
59,age20~34,freq0
60,age35~49,freq0
61,age~19,freq1
62,age20~34,freq0
63,age20~34,freq0
64,age35~49,freq0
65,age~19,freq1
66,age20~34,freq1
67,age50~,freq0
68,age35~49,freq1
69,age~19,freq1
70,age35~49,freq1
71,age20~34,freq3~
72,age50~,freq2
73,age35~49,freq1
74,age20~34,freq0
75,age50~,freq3~
76,age35~49,freq0
77,age35~49,freq1
78,age20~34,freq0
79,age35~49,freq1
80,age20~34,freq1
81,age50~,freq3~
82,age50~,freq0
83,age35~49,freq0
84,age35~49,freq2
85,age20~34,freq1
86,age35~49,freq3~
87,age35~49,freq3~
88,age35~49,freq2
89,age20~34,freq1
90,age50~,freq3~
91,age20~34,freq0
92,age~19,freq2
93,age~19,freq3~
94,age20~34,freq1
95,age20~34,freq0
96,age~19,freq0
97,age35~49,freq3~
98,age50~,freq0
99,age35~49,freq1
100,age20~34,freq0
101,age20~34,freq0
102,age35~49,freq0
103,age~19,freq3~
104,age~19,freq3~
105,age50~,freq0
106,age35~49,freq1
107,age35~49,freq1
108,age~19,freq1
109,age35~49,freq0
110,age35~49,freq3~
111,age20~34,freq1
112,age35~49,freq0
113,age35~49,freq2
114,age35~49,freq3~
115,age35~49,freq0
116,age35~49,freq0
117,age20~34,freq1
118,age20~34,freq0
119,age20~34,freq1
120,age35~49,freq0
121,age20~34,freq1
122,age35~49,freq0
123,age35~49,freq0
124,age35~49,freq0
125,age50~,freq3~
126,age35~49,freq0
127,age35~49,freq0
128,age35~49,freq2
129,age20~34,freq3~
130,age50~,freq1
131,age50~,freq0
132,age35~49,freq1
133,age35~49,freq0
134,age20~34,freq1
135,age~19,freq3~
136,age~19,freq0
137,age35~49,freq0
138,age35~49,freq1
139,age20~34,freq1
140,age35~49,freq0
141,age50~,freq3~
142,age20~34,freq0
143,age20~34,freq0
144,age35~49,freq0
145,age20~34,freq0
146,age35~49,freq0
147,age35~49,freq2
148,age20~34,freq1
149,age35~49,freq1
150,age50~,freq0
151,age50~,freq0
152,age50~,freq0
153,age20~34,freq0
154,age~19,freq3~
155,age35~49,freq0
156,age35~49,freq2
157,age35~49,freq0
158,age20~34,freq1
159,age20~34,freq1
160,age50~,freq1
161,age~19,freq3~
162,age50~,freq3~
163,age20~34,freq0
164,age50~,freq0
165,age50~,freq1
166,age35~49,freq0
167,age35~49,freq3~
168,age35~49,freq0
169,age20~34,freq0
170,age50~,freq0
171,age~19,freq0
172,age50~,freq0
173,age20~34,freq0
174,age20~34,freq0
175,age20~34,freq0
176,age35~49,freq0
177,age50~,freq3~
178,age20~34,freq0
179,age20~34,freq1
180,age35~49,freq0
181,age35~49,freq0
182,age50~,freq1
183,age35~49,freq1
184,age35~49,freq0
185,age20~34,freq0
186,age20~34,freq0
187,age35~49,freq3~
188,age35~49,freq0
189,age20~34,freq0
190,age20~34,freq0
191,age50~,freq1
192,age35~49,freq3~
193,age20~34,freq3~
194,age50~,freq0
195,age35~49,freq1
196,age35~49,freq1
197,age~19,freq0
198,age50~,freq0
199,age20~34,freq2
200,age20~34,freq2
201,age35~49,freq1
