r,s,w,b,e
r00,s4,1000,17,18
r01,s1,950,16,18
r02,s6,1330,2,4
r03,s5,1130,19,20
r04,s2,710,1,2
r05,s5,690,10,12
r06,s3,1180,13,15
r07,s4,690,4,6
r08,s2,960,16,17
r09,s6,930,14,15
r10,s9,910,16,17
r11,s3,1100,8,9
r12,s1,1360,12,14
r13,s7,1120,19,20
r14,s9,820,9,10
r15,s3,650,16,17
r16,s5,1590,16,17
r17,s7,930,15,16
r18,s4,880,13,14
r19,s9,1470,9,10
r20,s6,1020,2,4
r21,s8,2020,19,20
r22,s4,790,10,11
r23,s9,890,5,7
r24,s2,1160,14,16
r25,s3,560,2,3
r26,s5,1440,16,18
r27,s5,900,6,8
r28,s2,1230,14,16
r29,s4,1020,4,5
r30,s4,1020,16,18
r31,s1,1080,6,8
r32,s7,1110,8,10
r33,s8,1840,7,8
r34,s5,690,18,19
r35,s6,980,18,20
r36,s1,1220,11,12
r37,s7,1230,10,12
r38,s7,1360,16,18
r39,s2,890,15,17
r40,s4,1130,19,20
r41,s3,1450,18,19
r42,s7,870,19,20
r43,s5,1290,6,7
r44,s2,620,6,8
r45,s9,970,17,19
r46,s9,1060,1,3
r47,s7,860,2,4
r48,s2,1680,9,11
r49,s9,1250,13,15
r50,s7,1090,18,19
r51,s7,850,8,10
r52,s6,970,16,17
r53,s9,890,1,3
r54,s5,780,6,8
r55,s5,520,19,20
r56,s4,480,4,6
r57,s8,880,2,4
r58,s6,830,19,20
r59,s3,690,14,16
r60,s2,1100,18,20
r61,s7,1200,13,15
r62,s1,1090,17,18
r63,s5,560,19,20
r64,s7,780,6,7
r65,s8,1170,2,3
r66,s8,950,7,9
r67,s1,1120,6,8
r68,s7,1240,17,19
r69,s2,1040,10,11
r70,s1,1260,15,17
r71,s2,970,11,12
r72,s3,940,13,15
r73,s3,1060,5,6
r74,s1,1310,5,7
r75,s2,740,8,9
r76,s3,630,16,18
r77,s3,880,1,3
r78,s4,1270,2,3
r79,s9,910,5,7
r80,s6,1560,2,3
r81,s7,990,6,8
r82,s2,590,8,9
r83,s2,1770,18,20
r84,s2,650,10,11
r85,s8,1160,18,19
r86,s6,900,15,17
r87,s1,1060,15,17
r88,s2,770,18,20
r89,s5,780,17,18
r90,s7,850,7,9
r91,s2,1190,7,9
r92,s7,1580,18,20
r93,s6,910,4,5
r94,s1,900,16,18
r95,s3,1290,13,14
r96,s5,700,4,5
r97,s9,1270,13,14
r98,s9,1100,10,12
r99,s9,850,1,3
